kennzahl_id;befragung_typ;zielgruppe;antworten_erhalten;eingeladene_personen;ruecklaufquote_prozent;leistungsziel;zielwert;ergebnisbewertung
baseline_jugendliche_antworten;baseline;jugendliche;54;140;38.57;Baseline-Befragung bei mindestens 130 Jugendlichen durchführen und mindestens 80 Prozent Rücklaufquote erreichen;"130 Antworten; 80 Prozent Rücklaufquote";nicht erreicht
abschluss_jugendliche_antworten;abschluss;jugendliche;105;140;75.00;Abschlussbefragung bei mindestens 130 Jugendlichen und Mentor:innen (kombiniert) durchführen und mindestens 80 Prozent Rücklaufquote je Zielgruppe erreichen;"130 Antworten kombiniert; 80 Prozent Rücklaufquote je Zielgruppe";Rücklaufquote unter Zielwert
abschluss_mentorinnen_antworten;abschluss;mentorinnen;38;68;55.88;Abschlussbefragung bei mindestens 130 Jugendlichen und Mentor:innen (kombiniert) durchführen und mindestens 80 Prozent Rücklaufquote je Zielgruppe erreichen;"130 Antworten kombiniert; 80 Prozent Rücklaufquote je Zielgruppe";Rücklaufquote unter Zielwert
